Label,Offensive/Violent words
1,2 girls 1 cup
1,2-faced
1,2-faces
1,2g1c
0,a
0,a+
0,aa
0,aaage
0,aabaad
0,aabaadi
0,aade
0,aadesh
1,aadesh
0,aadha
0,aadhaar
0,aadhaarit
0,aadhe
0,aadhonik
0,aadhra
0,aadi
0,aadmi
0,aadvaani
0,aaeya
0,aag
0,aagaami
0,aage
0,aagrah
0,aaho
0,aahvaan
0,aai
0,aaj
0,aaja
0,aajaad
0,aajaadi
0,aakaar
0,aakadaa
0,aakade
0,aakado
0,aakarshit
0,aakdaa
0,aakhir
0,aakhiri
0,aalochnaa
0,aam
0,aamnesaamne
0,aamtaur
0,aanaa
0,aanad
0,aandhi
1,aandolan
0,aane
0,aankh
0,aant
0,aap
0,aapas
1,aapatti
0,aapke
0,aapki
0,aapko
0,aapna
0,aapne
0,aapoorti
0,aapraadhik
0,aapsi
0,aapurti
1,aar
1,aarop
0,aaropi
1,aaropiyo
0,aaropo
0,aarthik
0,aasaan
0,aasaani
0,aasha
0,aashaa
0,aashanka
0,aasharya
0,aashcharya
0,aashvaasan
0,aasmaan
0,aaspaas
0,aataa
1,aatank
1,aatanki
1,aatankiyo
1,aatankvaad
1,aatankvaadiyo
0,aatarik
0,aate
0,aath
0,aathe
0,aati
0,aatma
1,aatmahatyaa
0,aatojit
1,aaukat
0,aaun
0,aaunda
0,aaundi
0,aavaas
0,aavashayak
0,aavashyakta
0,aavasshyakta
0,aavedhan
0,aavishkaar
0,aawaaz
0,aay
0,aaya
0,aayaa
0,aayakar
0,aaye
0,aayegaa
0,aayegi
0,aayog
0,aayojan
0,aayojit
0,aayukt
0,abb
0,abb tak
0,abbaas
1,abbo
0,abdul
0,abhi
0,abhi tak
0,abhinetaa
0,abhiyaan
0,abhyaas
0,able
1,abnormal
1,abo
1,abolish
1,abominable
1,abominably
1,abominate
1,abomination
1,abort
1,aborted
1,abortion
1,aborts
0,abound
0,abounds
0,about
0,above
1,abrade
1,abrasive
1,abrupt
1,abruptly
1,abscond
1,absence
1,absentee
1,absent-minded
1,absurd
1,absurdity
1,absurdly
1,absurdness
0,abundance
0,abundant
1,abuse
1,abused
1,abuses
1,abusive
1,abysmal
1,abysmally
1,abyss
0,accessable
0,accessible
1,accidental
0,acclaim
0,acclaimed
0,acclamation
0,accolade
0,accolades
0,accommodative
0,accomodative
0,accomplish
0,accomplished
0,accomplishment
0,accomplishments
1,accost
0,accurate
0,accurately
1,accursed
1,accusation
1,accusations
1,accuse
1,accuses
1,accusing
1,accusingly
1,acerbate
1,acerbic
1,acerbically
0,achaa
0,achaanak
0,achanak
1,ache
1,ached
1,aches
1,achey
0,achhaa
0,achhe
0,achhi
0,achievable
0,achievement
0,achievements
0,achievible
0,achii tarah se
1,aching
1,acrid
1,acridly
1,acridness
1,acrimonious
1,acrimoniously
1,acrimony
1,acrotomophilia
0,act
0,action
0,acumen
0,adaa
0,adaalat
1,adamant
1,adamantly
0,adaptable
0,adaptive
0,adar
0,add
1,addict
1,addicted
1,addicting
1,addicts
0,adequate
0,adhayayan
0,adhik
0,adhikaar
0,adhikaarik
0,adhikaario
0,adhikaaro
0,adhikatam
0,adhiktar
0,adhiniyam
0,adhyakshtaa
0,adhyayan
0,adjustable
0,admi
0,admirable
0,admirably
0,admiration
0,admire
0,admirer
0,admiring
0,admiringly
1,admonish
1,admonisher
1,admonishingly
1,admonishment
1,admonition
0,adorable
0,adore
0,adored
0,adorer
0,adoring
0,adoringly
0,adroit
0,adroitly
0,adulate
0,adulation
0,adulatory
1,adult
1,adulterate
1,adulterated
1,adulteration
1,adulterier
0,advanced
0,advantage
0,advantageous
0,advantageously
0,advantages
0,adventuresome
0,adventurous
1,adversarial
1,adversary
1,adverse
1,adversity
0,advocate
0,advocated
0,advocates
0,affability
0,affable
0,affably
0,affectation
0,affection
0,affectionate
0,affinity
0,affirm
0,affirmation
0,affirmative
1,afflict
1,affliction
1,afflictive
0,affluence
0,affluent
0,afford
0,affordable
0,affordably
1,affront
0,afghanistaan
0,afordable
0,afraid
1,afraid
0,africa
1,africa
1,african
0,afsar
0,after
0,again
0,against
0,agar
0,agarwaal
0,age
0,agency
0,agg
1,aggravate
1,aggravating
1,aggravation
1,aggression
1,aggressive
1,aggressiveness
1,aggressor
1,aggrieve
1,aggrieved
1,aggrivation
1,aghast
0,agile
0,agilely
0,agility
0,aglaa
0,agle
0,agli
0,ago
1,agonies
1,agonize
1,agonizing
1,agonizingly
1,agony
0,agra
0,agree
0,agreeable
0,agreeableness
0,agreeably
1,aground
0,aguaai
0,aguvaai
0,ah
0,aham
0,ahemad
0,ahmedabaad
0,aid
0,aihesaan
1,ail
0,ailaan
1,ailing
1,ailment
1,aimless
0,aims
0,air
0,aircraft
0,airport
0,aisa
0,aisaa
0,aisaa nhi
0,aise
0,aisi
0,aitihaasik
0,aitraaj
0,ajaam
0,ajahar
0,ajij
0,ajj
0,akaali
0,akaaut
0,akele
0,akh
0,akhbaar
0,akhilesh
0,aksar
0,al
0,alag
0,alagalag
1,alarm
1,alarmed
1,alarming
1,alarmingly
0,alawa
0,algaavvaadi
0,ali
1,alienate
1,alienated
1,alienation
0,all
1,all
1,alla
1,allah
0,all-around
1,allegation
1,allegations
1,allege
1,allergic
1,allergies
1,allergy
1,alligatorbait
0,allow
0,alluring
0,alluringly
1,aloof
0,also
1,altercation
0,altruistic
0,altruistically
0,always
0,am
0,amal
1,amateur
0,amaze
0,amazed
0,amazement
0,amazes
0,amazing
0,amazingly
1,ambiguity
1,ambiguous
0,ambitious
0,ambitiously
1,ambivalence
1,ambivalent
1,ambush
0,ameer
0,ameliorate
0,amenable
0,amenity
0,america
0,american
0,ameriki
0,amiability
0,amiabily
0,amiable
0,amicability
0,amicable
0,amicably
1,amiss
0,amit
0,amity
0,among
0,ample
0,amply
1,amputate
0,amrinder
0,amritsar
0,amuse
0,amusing
0,amusingly
0,an
1,anal
1,analannie
1,analsex
0,anant
1,anarchism
1,anarchist
1,anarchistic
1,anarchy
0,and
0,anda
0,andar
1,ande
0,andekhi
0,andhera
1,anemic
0,ang
0,angel
0,angelic
0,anger
1,anger
1,angie
0,angoothi
0,angrezi
1,angrily
1,angriness
1,angry
1,anguish
1,anilingus
0,animal
1,animosity
0,anivaarya
0,anjeer
0,ank
1,annihilate
1,annihilation
1,annoy
1,annoyance
1,annoyances
1,annoyed
1,annoying
1,annoyingly
1,annoys
1,anomalous
1,anomaly
0,ansh
0,answer
1,antagonism
1,antagonist
1,antagonistic
1,antagonize
0,antariksh
0,antarraashtriy
1,anti-
1,anti-american
1,anti-israeli
0,antim
1,anti-occupation
1,antipathy
1,anti-proliferation
1,antiquated
1,anti-semites
1,anti-social
1,antithetical
1,anti-us
1,anti-white
0,anu
0,anubhag
0,anubhav
0,anuchchhed
0,anumaan
0,anumati
0,anurodh
1,anus
0,anusaar
1,anxieties
1,anxiety
1,anxious
1,anxiously
1,anxiousness
0,any
0,anya
1,apathetic
1,apathetically
1,apathy
0,apeel
0,aphasaro
0,apna
0,apnaaye
0,apne
0,apni
1,apocalypse
1,apocalyptic
1,apologist
1,apologists
0,apotheosis
1,appal
1,appall
1,appalled
1,appalling
1,appallingly
0,appeal
0,appealing
0,appear
0,applaud
0,apple
0,appreciable
0,appreciate
0,appreciated
0,appreciates
0,appreciative
0,appreciatively
1,apprehension
1,apprehensions
1,apprehensive
1,apprehensively
0,appropriate
0,approval
0,approve
1,apraadh
0,april
0,arab
1,arab
1,arabs
0,arath
0,aravind
1,arbitrary
1,arcane
1,archaic
0,ardent
0,ardently
0,ardor
1,arduous
